"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Germany","DEU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","156000000","12000000","146000000","133000000","438000000","332000000","713000000","771000000","574000000","740000000","1434000000","1364000000","1377000000","226000000","1208000000","1446000000","1662000000","1862000000","1631000000","1431000000","1596000000","1940000000","1584000000","2297000000","2858000000","1283000000","1415000000","969000000","1388000000","1202000000","1816000000","2482000000","1437000000","1500000000","2800000000","1465000000","1950000000","939000000","1808000000","1857000000","1610000000","895000000","902000000","1660000000","1126000000","2068000000","2764000000","3310000000","2380000000","2521000000","2725000000","1351000000","847000000","738000000","1774000000","1769000000","2535000000","1653000000",
"Djibouti","DJI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","20000000","","","","60000000","20000000","","131000000","28000000","3000000","","","","","","23000000","","","","","18000000","29000000","64000000","115000000","","","","117000000","40000000","","72000000","10000000","","183000000","272000000","16000000","","","1000000","6000000","20000000","1000000","10000000","5000000","","","9000000","6000000","17000000","14000000","8000000","21000000","33000000","9000000","17000000","25000000","26000000","12000000",
"Dominican Republic","DOM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000",
"Algeria","DZA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","6000000","","","","","","","","","","","","6000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","",
"East Asia & Pacific (excluding high income)","EAP","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","285000000","35000000","51000000","18000000","61000000","419000000","619000000","410000000","730000000","657000000","905000000","","","","","","","","","","","","","","","","","","","","","","","","","1079000000","","","","447000000","","","","841000000","492000000","314000000","805000000","534000000","670000000","1160000000","1479000000","1261000000","1509000000","2006000000","1153000000","1832000000","2288000000","1235000000",
"Early-demographic dividend","EAR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","27000000","33000000","","","","","","58000000","","70000000","","","164000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","286000000","98000000","153000000","26000000","75000000","","","423000000","","","","","","","","","","","","791000000","","","","","","","","","","1308000000","1255000000","","","","","","1051000000","614000000","","","","","","","","","","","","","","","","","","","","1927000000",
"Europe & Central Asia (excluding high income)","ECA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","6000000","9000000","9000000","1000000","","","","27000000","44000000","","","","105000000","","","","","","","","","","","1834000000","4146000000","4017000000","4488000000","2861000000","5906000000","5184000000","5970000000","6298000000","5999000000","6693000000","5701000000","5928000000","6423000000","7047000000","5735000000","7064000000","9559000000","10110000000","9027000000","6132000000","6581000000","8099000000","6669000000",
"Europe & Central Asia","ECS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3959000000","3034000000","3215000000","3504000000","4518000000","4251000000","4981000000","5481000000","4826000000","4989000000","4919000000","7425000000","7309000000","6704000000","6703000000","7845000000","7972000000","8321000000","8947000000","8869000000","10115000000","12250000000","11706000000","11282000000","11413000000","9750000000","8257000000","8603000000","8379000000","8975000000","7066000000","6933000000","8013000000","9277000000","9267000000","9896000000","11335000000","13237000000","11143000000","12903000000","10862000000","11625000000","11251000000","11649000000","12682000000","13318000000","15277000000","16837000000","15465000000","14503000000","14248000000","18024000000","16166000000","15953000000","14673000000","15004000000","16969000000","15070000000",
"Ecuador","ECU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000000","","","",
"Egypt, Arab Rep.","EGY","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","0","7000000","8000000","2000000","","13000000","3000000","26000000","15000000","39000000","","","","","16000000","","69000000","80000000","13000000","29000000","77000000","80000000","70000000","36000000","5000000","19000000","61000000","65000000","63000000","20000000","","13000000","22000000","15000000","9000000","5000000","5000000","","","","","","","","","","","","","","","","","7000000","22000000","","",
